Time, GoodsNb, price, CustoNb, PosX_cust, PosY_cust, PosX_stor, PosY_stor, Dist
1, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
1, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
1, 0, 0.25, 2, 87, 31, 87, 82, 100.553
1, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
1, 0, 0.25, 4, 69, 55, 87, 82, 102.533
1, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
1, 0, 0.25, 6, 92, 66, 87, 82, 115.827
1, 0, 0.25, 7, 92, 94, 87, 82, 125.348
1, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
1, 0, 0.25, 9, 97, 88, 87, 82, 125.12
2, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
2, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
2, 0, 0.25, 2, 87, 31, 87, 82, 100.553
2, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
2, 0, 0.25, 4, 69, 55, 87, 82, 102.533
2, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
2, 0, 0.25, 6, 92, 66, 87, 82, 115.827
2, 0, 0.25, 7, 92, 94, 87, 82, 125.348
2, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
2, 0, 0.25, 9, 97, 88, 87, 82, 125.12
3, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
3, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
3, 0, 0.25, 2, 87, 31, 87, 82, 100.553
3, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
3, 0, 0.25, 4, 69, 55, 87, 82, 102.533
3, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
3, 0, 0.25, 6, 92, 66, 87, 82, 115.827
3, 0, 0.25, 7, 92, 94, 87, 82, 125.348
3, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
3, 0, 0.25, 9, 97, 88, 87, 82, 125.12
4, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
4, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
4, 0, 0.25, 2, 87, 31, 87, 82, 100.553
4, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
4, 0, 0.25, 4, 69, 55, 87, 82, 102.533
4, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
4, 0, 0.25, 6, 92, 66, 87, 82, 115.827
4, 0, 0.25, 7, 92, 94, 87, 82, 125.348
4, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
4, 0, 0.25, 9, 97, 88, 87, 82, 125.12
5, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
5, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
5, 0, 0.25, 2, 87, 31, 87, 82, 100.553
5, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
5, 0, 0.25, 4, 69, 55, 87, 82, 102.533
5, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
5, 0, 0.25, 6, 92, 66, 87, 82, 115.827
5, 0, 0.25, 7, 92, 94, 87, 82, 125.348
5, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
5, 0, 0.25, 9, 97, 88, 87, 82, 125.12
6, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
6, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
6, 0, 0.25, 2, 87, 31, 87, 82, 100.553
6, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
6, 0, 0.25, 4, 69, 55, 87, 82, 102.533
6, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
6, 0, 0.25, 6, 92, 66, 87, 82, 115.827
6, 0, 0.25, 7, 92, 94, 87, 82, 125.348
6, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
6, 0, 0.25, 9, 97, 88, 87, 82, 125.12
7, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
7, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
7, 0, 0.25, 2, 87, 31, 87, 82, 100.553
7, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
7, 0, 0.25, 4, 69, 55, 87, 82, 102.533
7, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
7, 0, 0.25, 6, 92, 66, 87, 82, 115.827
7, 0, 0.25, 7, 92, 94, 87, 82, 125.348
7, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
7, 0, 0.25, 9, 97, 88, 87, 82, 125.12
8, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
8, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
8, 0, 0.25, 2, 87, 31, 87, 82, 100.553
8, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
8, 0, 0.25, 4, 69, 55, 87, 82, 102.533
8, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
8, 0, 0.25, 6, 92, 66, 87, 82, 115.827
8, 0, 0.25, 7, 92, 94, 87, 82, 125.348
8, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
8, 0, 0.25, 9, 97, 88, 87, 82, 125.12
9, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
9, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
9, 0, 0.25, 2, 87, 31, 87, 82, 100.553
9, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
9, 0, 0.25, 4, 69, 55, 87, 82, 102.533
9, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
9, 0, 0.25, 6, 92, 66, 87, 82, 115.827
9, 0, 0.25, 7, 92, 94, 87, 82, 125.348
9, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
9, 0, 0.25, 9, 97, 88, 87, 82, 125.12
10, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
10, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
10, 0, 0.25, 2, 87, 31, 87, 82, 100.553
10, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
10, 0, 0.25, 4, 69, 55, 87, 82, 102.533
10, 0, 0.25, 5, 9, 87, 87, 82, 88.9775
10, 0, 0.25, 6, 92, 66, 87, 82, 115.827
10, 0, 0.25, 7, 92, 94, 87, 82, 125.348
10, 0, 0.25, 8, 33, 80, 87, 82, 97.1133
10, 0, 0.25, 9, 97, 88, 87, 82, 125.12
11, 0, 0.25, 0, 59, 55, 87, 82, 98.1988
11, 0, 0.25, 1, 62, 34, 87, 82, 90.4544
11, 0, 0.25, 2, 87, 31, 87, 82, 100.553
11, 0, 0.25, 3, 10, 92, 87, 82, 91.7279
11, 0, 0.25, 4, 69, 55, 87, 82, 102.533
