"","n","alpha_ASC_1","alpha_ASC_2","alpha_ASC_3","alpha_ASC_4","alpha_ASC_5","alpha_ASC_6","alpha_ASC_7","alpha_ASC_8","alpha_ASC_10","alpha_ASC_11","alpha_ASC_12","alpha_ASC_13","alpha_ASC_14","alpha_ASC_15","alpha_ASC_16","alpha_ASC_17","alpha_ASC_18","alpha_ASC_19","alpha_ASC_20","beta_Price"
"1",1,-2.98672022922387,2.24392558484532,-0.624671158710732,0.0177990839217826,-0.313632238640594,-0.639920797241709,1.38344715723932,3.61481586933791,-1.23256969535792,0.394103728651321,-1.68727377131018,-0.395755007596988,0.333049701382445,-1.09350848188629,-2.99302705951354,3.36240033793225,-1.01412295877115,3.42692564664816,2.40965410458769,-2.04036181358299
"2",2,-3.7039229162553,-2.03998758906458,-0.881483644196887,-1.49394113016413,-1.75415314815859,-0.775180892595032,1.94405958584004,-1.14452146855743,-1.30976968833326,-1.07998797118559,0.0614706764297159,-1.55812572720653,-0.464849469144143,-1.25518611832885,-3.16730800156477,1.61989289507835,-2.02401126599406,3.60911929759727,3.24963543436105,-4.02572638615585
"3",3,-3.44366038632399,-1.28917047103871,0.100815504860302,-1.28174962833367,-0.681135359226358,-0.0688102077891899,4.03191540865431,-0.605160958708364,-1.70466625673297,-0.701827235838237,-0.122676187263601,-2.12286357407958,-1.24640042575188,-1.7963176935462,-4.00626056642449,2.76482135120032,-0.852741374088423,2.95063609548544,2.15148105754942,-3.79849531077691
"4",4,-5.11274178828243,-5.85678704789792,-2.9091334471583,-7.03053741436006,-6.68537474414863,-3.70198145176724,-5.95069351596766,-2.75540312404457,-2.85137135533006,-0.898983103606803,0.502360178858551,0.15083463738642,3.09517909743861,0.495782196604463,-3.4150865833198,-1.02975914481411,2.22269128242989,2.89332220933166,1.30477363580914,-5.16958167098177
"5",5,-1.98841079395385,-1.01164236756711,-1.77213456084886,-0.210668708368673,-2.63534059183208,-2.12849103639718,-2.68990118138622,-2.3823008719915,-2.31004165681299,-0.520109602906187,-0.999620105355763,-1.66446925923717,0.516571743403692,-2.0076583426758,-2.32480512508001,0.274002738106145,0.19703320182375,2.14863393425024,2.64842834031075,-2.85658946120146
"6",6,-3.52819918448501,-0.280456246914218,1.05068653280498,0.892361280797803,-0.553030306601192,1.64636268063085,3.85506481048468,2.9095872899461,-1.55746443793935,-0.159656618193924,-0.348029530141084,-1.80485777842903,-1.4299520469186,-0.641334498468103,-2.95388756505923,3.68861704932367,-2.92927327964013,3.19588976330081,3.12162309462686,-2.89461661586745
"7",7,-3.28807488695951,-0.384859361018401,3.91239980060705,-0.174437325200383,-1.57707595104342,-1.02062315084937,0.711433827518933,0.779076344885268,-1.48915692599457,1.39801345914392,-0.0315551137232876,-1.71529100308906,-2.86406982157029,-1.26255906206634,-3.05135182927824,0.937110518828694,-2.0923583398084,3.13664922127498,3.76673092669896,-3.310005663208
"8",8,-0.7964868017711,-2.7387807390567,-1.97430734586752,-3.88202022901464,-4.34726948210713,-3.14658464289065,-4.10986624595843,-4.19654871308836,-2.40181321627913,-0.532919996657088,-1.45051152505526,-0.00826589844009818,-1.05732474606406,-1.77329866899629,-0.973862796118746,-0.224750134897232,1.66846361277557,2.05498970720619,2.9514439476929,-2.6120560293876
"9",9,-2.72235789219643,1.77356876984476,0.636822099839352,-0.218414950084612,-2.03667451251788,-0.88833230189204,-0.463987508650168,1.01513346213772,-2.17446376550257,0.166176850187021,-0.716039709279867,-2.14328098780429,-0.527633246861607,-1.76810838307045,-1.70871657922223,2.34626441261612,-1.46757609723605,2.30456931469054,2.95400366504647,-3.41161780815114
"10",10,-4.14969245882394,-3.73220148405246,-1.75669424913971,-4.78666614122049,-4.92892054497606,-2.26220782117404,-3.26213043060783,-2.5848333125084,-2.04306537447127,0.035996466349131,-0.0473871408506688,-0.388563913774111,1.1669502072668,-0.300047219322504,-2.86947716324536,0.463815161184051,0.987589175991992,2.58914940226693,1.51522153631832,-3.98640220008507
