"","n","t","j","ASC_1","ASC_2","ASC_3","ASC_4","ASC_5","ASC_6","ASC_7","ASC_8","ASC_10","ASC_11","ASC_12","ASC_13","ASC_14","ASC_15","ASC_16","ASC_17","ASC_18","ASC_19","ASC_20","Price"
"1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
"2",1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"3",1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"4",1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"5",1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"6",1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"7",1,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"8",1,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"9",1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"10",1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"11",1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"12",1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49
"13",1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"14",1,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"15",1,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"16",1,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"17",1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"18",1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"19",1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"20",1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"21",1,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"22",1,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"23",1,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"24",1,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.59
"25",1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"26",1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"27",1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"28",1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"29",1,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"30",1,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"31",1,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"32",1,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.59
"33",1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
"34",1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"35",1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99
"36",1,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"37",1,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"38",1,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"39",1,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"40",1,5,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"41",1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"42",1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"43",1,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"44",1,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"45",1,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"46",1,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"47",1,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"48",1,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"49",1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"50",1,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"51",1,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"52",1,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"53",1,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"54",1,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"55",1,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"56",1,7,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"57",1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"58",1,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"59",1,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"60",1,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"61",1,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"62",1,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"63",1,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"64",1,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"65",1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"66",1,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"67",1,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"68",1,9,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"69",1,9,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59
"70",1,9,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"71",1,9,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.19
"72",1,9,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.39
"73",1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69
"74",1,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
"75",1,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29
"76",1,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79
